GO	x	K	GeneRatio	BgRatio	p_value	genes_in_target	p_adjust	significant
GO:0070475	1	16	1/287	16/27058	0.15689479684401908	S.CEREALE.LO7.r2.7RG00681170	0.3593260099370269	FALSE
GO:0005315	1	16	1/287	16/27058	0.15689479684401908	S.CEREALE.LO7.r2.7RG00672310	0.3593260099370269	FALSE
GO:0006817	1	16	1/287	16/27058	0.15689479684401908	S.CEREALE.LO7.r2.7RG00672310	0.3593260099370269	FALSE
GO:0006812	2	67	2/287	67/27058	0.15884309012591355	S.CEREALE.LO7.r2.3RG00201340;S.CEREALE.LO7.r2.7RG00723520	0.3593260099370269	FALSE
GO:0015979	2	67	2/287	67/27058	0.15884309012591355	S.CEREALE.LO7.r2.2RG00143350;S.CEREALE.LO7.r2.7RG00671400	0.3593260099370269	FALSE
GO:0015934	1	17	1/287	17/27058	0.16584277381708934	S.CEREALE.LO7.r2.3RG00260220	0.3593260099370269	FALSE
GO:0015018	1	17	1/287	17/27058	0.16584277381708934	S.CEREALE.LO7.r2.3RG00260380	0.3593260099370269	FALSE
GO:0009690	1	17	1/287	17/27058	0.16584277381708934	S.CEREALE.LO7.r2.6RG00646590	0.3593260099370269	FALSE
GO:0019139	1	17	1/287	17/27058	0.16584277381708934	S.CEREALE.LO7.r2.6RG00646590	0.3593260099370269	FALSE
GO:0043039	1	17	1/287	17/27058	0.16584277381708934	S.CEREALE.LO7.r2.2RG00090230	0.3593260099370269	FALSE
GO:0005516	1	17	1/287	17/27058	0.16584277381708934	S.CEREALE.LO7.r2.1RG00048290	0.3593260099370269	FALSE
GO:0016157	1	17	1/287	17/27058	0.16584277381708934	S.CEREALE.LO7.r2.2RG00154170	0.3593260099370269	FALSE
GO:0005985	1	18	1/287	18/27058	0.17469611222596804	S.CEREALE.LO7.r2.2RG00154170	0.36341722273855853	FALSE
GO:0003777	2	72	2/287	72/27058	0.1776486013709428	S.CEREALE.LO7.r2.2RG00143360;S.CEREALE.LO7.r2.7RG00679560	0.36341722273855853	FALSE
GO:0007018	2	72	2/287	72/27058	0.1776486013709428	S.CEREALE.LO7.r2.2RG00143360;S.CEREALE.LO7.r2.7RG00679560	0.36341722273855853	FALSE
GO:0009451	1	19	1/287	19/27058	0.18345580955552232	S.CEREALE.LO7.r2.2RG00106760	0.36341722273855853	FALSE
GO:0009982	1	19	1/287	19/27058	0.18345580955552232	S.CEREALE.LO7.r2.2RG00106760	0.36341722273855853	FALSE
GO:0006265	1	19	1/287	19/27058	0.18345580955552232	S.CEREALE.LO7.r2.7RG00677810	0.36341722273855853	FALSE
GO:0008107	1	19	1/287	19/27058	0.18345580955552232	S.CEREALE.LO7.r2.6RG00583600	0.36341722273855853	FALSE
GO:0042546	1	19	1/287	19/27058	0.18345580955552232	S.CEREALE.LO7.r2.6RG00583600	0.36341722273855853	FALSE
GO:0019898	1	19	1/287	19/27058	0.18345580955552232	S.CEREALE.LO7.r2.2RG00143350	0.36341722273855853	FALSE
GO:0042910	2	75	2/287	75/27058	0.1890912241342251	S.CEREALE.LO7.r2.2RG00177730;S.CEREALE.LO7.r2.5RG00431530	0.37104693037659264	FALSE
GO:0005524	32	2574	32/287	2574/27058	0.19571229255736808	S.CEREALE.LO7.r2.1RG00059450;S.CEREALE.LO7.r2.1RG00066580;S.CEREALE.LO7.r2.1RG00068630;S.CEREALE.LO7.r2.1RG00082910;S.CEREALE.LO7.r2.2RG00090230;S.CEREALE.LO7.r2.2RG00143360;S.CEREALE.LO7.r2.2RG00168980;S.CEREALE.LO7.r2.3RG00214930;S.CEREALE.LO7.r2.4RG00309670;S.CEREALE.LO7.r2.4RG00309910;S.CEREALE.LO7.r2.4RG00318790;S.CEREALE.LO7.r2.4RG00352180;S.CEREALE.LO7.r2.4RG00363150;S.CEREALE.LO7.r2.4RG00363270;S.CEREALE.LO7.r2.5RG00459120;S.CEREALE.LO7.r2.5RG00462460;S.CEREALE.LO7.r2.5RG00515790;S.CEREALE.LO7.r2.5RG00518790;S.CEREALE.LO7.r2.5RG00519080;S.CEREALE.LO7.r2.6RG00546330;S.CEREALE.LO7.r2.6RG00557750;S.CEREALE.LO7.r2.6RG00585790;S.CEREALE.LO7.r2.6RG00588200;S.CEREALE.LO7.r2.6RG00600490;S.CEREALE.LO7.r2.6RG00651850;S.CEREALE.LO7.r2.7RG00679560;S.CEREALE.LO7.r2.7RG00707230;S.CEREALE.LO7.r2.7RG00710260;S.CEREALE.LO7.r2.7RG00723520;S.CEREALE.LO7.r2.7RG00733680;S.CEREALE.LO7.r2.7RG00740190;S.CEREALE.LO7.r2.7RG00747890	0.3795744512083954	FALSE
GO:0140359	3	144	3/287	144/27058	0.19708673428128223	S.CEREALE.LO7.r2.4RG00363150;S.CEREALE.LO7.r2.5RG00519080;S.CEREALE.LO7.r2.6RG00651850	0.3795744512083954	FALSE
GO:0003735	6	374	6/287	374/27058	0.2077351855016434	S.CEREALE.LO7.r2.1RG00054700;S.CEREALE.LO7.r2.2RG00114060;S.CEREALE.LO7.r2.3RG00260220;S.CEREALE.LO7.r2.5RG00499680;S.CEREALE.LO7.r2.6RG00602240;S.CEREALE.LO7.r2.7RG00729760	0.3964120971040535	FALSE
GO:0043565	4	225	4/287	225/27058	0.2172360849553913	S.CEREALE.LO7.r2.1RG00070700;S.CEREALE.LO7.r2.1RG00076580;S.CEREALE.LO7.r2.6RG00577750;S.CEREALE.LO7.r2.7RG00674270	0.410773687915649	FALSE
GO:0008017	2	83	2/287	83/27058	0.2200313509269955	S.CEREALE.LO7.r2.2RG00143360;S.CEREALE.LO7.r2.7RG00679560	0.4123109999352708	FALSE
GO:0001522	1	24	1/287	24/27058	0.2258838647076742	S.CEREALE.LO7.r2.2RG00106760	0.4193807020364889	FALSE
GO:0006351	2	85	2/287	85/27058	0.2278366313948233	S.CEREALE.LO7.r2.1RG00025050;S.CEREALE.LO7.r2.3RG00260210	0.4193807020364889	FALSE
GO:0005506	11	801	11/287	801/27058	0.23277599876684454	S.CEREALE.LO7.r2.2RG00177740;S.CEREALE.LO7.r2.3RG00218390;S.CEREALE.LO7.r2.3RG00227230;S.CEREALE.LO7.r2.3RG00270840;S.CEREALE.LO7.r2.3RG00271050;S.CEREALE.LO7.r2.4RG00383940;S.CEREALE.LO7.r2.5RG00449560;S.CEREALE.LO7.r2.6RG00548580;S.CEREALE.LO7.r2.6RG00630240;S.CEREALE.LO7.r2.6RG00649370;S.CEREALE.LO7.r2.7RG00676180	0.42341942085873285	FALSE
GO:0005992	1	25	1/287	25/27058	0.23410208364785712	S.CEREALE.LO7.r2.5RG00463690	0.42341942085873285	FALSE
GO:1902600	2	88	2/287	88/27058	0.23957875924487698	S.CEREALE.LO7.r2.1RG00053960;S.CEREALE.LO7.r2.3RG00201340	0.42921999588389664	FALSE
GO:0005546	1	26	1/287	26/27058	0.24223335661027567	S.CEREALE.LO7.r2.4RG00360010	0.42921999588389664	FALSE
GO:0140662	2	89	2/287	89/27058	0.2434998053572106	S.CEREALE.LO7.r2.7RG00733680;S.CEREALE.LO7.r2.7RG00747890	0.42921999588389664	FALSE
GO:0071949	1	27	1/287	27/27058	0.2502786002715973	S.CEREALE.LO7.r2.2RG00142350	0.4374617550965735	FALSE
GO:0042393	1	28	1/287	28/27058	0.25823872167746675	S.CEREALE.LO7.r2.2RG00141930	0.4393003223445619	FALSE
GO:0008061	1	29	1/287	29/27058	0.2661146183433404	S.CEREALE.LO7.r2.2RG00147430	0.4393003223445619	FALSE
GO:0046488	1	29	1/287	29/27058	0.2661146183433404	S.CEREALE.LO7.r2.7RG00687810	0.4393003223445619	FALSE
GO:0052742	1	29	1/287	29/27058	0.2661146183433404	S.CEREALE.LO7.r2.7RG00687810	0.4393003223445619	FALSE
GO:0005216	1	29	1/287	29/27058	0.2661146183433404	S.CEREALE.LO7.r2.2RG00141940	0.4393003223445619	FALSE
GO:0016409	1	29	1/287	29/27058	0.2661146183433404	S.CEREALE.LO7.r2.2RG00094090	0.4393003223445619	FALSE
GO:0006887	1	29	1/287	29/27058	0.2661146183433404	S.CEREALE.LO7.r2.4RG00360010	0.4393003223445619	FALSE
GO:0006413	1	30	1/287	30/27058	0.2739071783542717	S.CEREALE.LO7.r2.4RG00420360	0.4450991648256915	FALSE
GO:0000145	1	30	1/287	30/27058	0.2739071783542717	S.CEREALE.LO7.r2.4RG00360010	0.4450991648256915	FALSE
GO:0046983	9	673	9/287	673/27058	0.2870302604320981	S.CEREALE.LO7.r2.2RG00164150;S.CEREALE.LO7.r2.3RG00287980;S.CEREALE.LO7.r2.4RG00304420;S.CEREALE.LO7.r2.4RG00313390;S.CEREALE.LO7.r2.4RG00357100;S.CEREALE.LO7.r2.5RG00504070;S.CEREALE.LO7.r2.6RG00539250;S.CEREALE.LO7.r2.6RG00585700;S.CEREALE.LO7.r2.6RG00598710	0.45578125145236176	FALSE
GO:0004568	1	32	1/287	32/27058	0.2892457941909219	S.CEREALE.LO7.r2.2RG00147430	0.45578125145236176	FALSE
